id,cuadrante,lng,lat,tipo_observado,categoria_ocupacional,confianza,estado_epistemico,requiere_validacion,estado,observacion,rol_sii,propietario
OCU-Q00-A,Q00,-71.2039557221389,-29.506316683350732,cultivo_agricola_organizado,0,0.95,HECHO_OBSERVADO,False,observado,Plantacion en filas regulares verde oscuro · ~0.5-1.0 ha · patron compatible con vinedo/frutal de riego,,
OCU-Q00-B,Q00,-71.2039557221389,-29.506316683350732,agrupacion_habitacional,4,0.8,HECHO_OBSERVADO,True,observado,~10-15 estructuras con techumbre clara distinguible · trama irregular · accesos visibles · contexto habitacional probable,,
OCU-Q11-A,Q11,-71.2005423186189,-29.50969369252629,asentamiento_consolidado,5,0.92,HECHO_OBSERVADO,False,observado,Densidad alta de techumbres (~40-60 viviendas en cuadrante) · trama de calles definida · cancha de futbol rectangular verde · vehiculos visibles · contexto habitacional consolidado,,
INFRA-Q11-CANCHA,Q11,-71.2005423186189,-29.50969369252629,infraestructura_comunitaria_cancha,0,0.95,HECHO_OBSERVADO,False,observado,Rectangulo verde uniforme con proporciones de cancha de futbol · indicador fuerte de asentamiento con vida comunitaria,,
OCU-Q22-A,Q22,-71.19712891509892,-29.513070701701853,estructuras_dispersas,2,0.7,HECHO_OBSERVADO,True,observado,Conjunto disperso de estructuras en mitad superior · transicion entre nucleo y zona arida · techumbres visibles pero menor densidad,,
GEO-Q22-CAUCE,Q22,-71.19712891509892,-29.513070701701853,cauce_quebrada_seco,0,0.9,INFERENCIA,True,observado,Linea sinuosa con tonos cambiantes (claro/oscuro) compatible con cauce seco · cruza el cuadrante · zona de potencial riesgo aluvional,,
VACIO-Q33-A,Q33,-71.19371551157892,-29.516447710877415,terreno_arido_sin_ocupacion,0,0.95,HECHO_OBSERVADO,False,observado,Sin estructuras visibles en zona cubierta · vegetacion arbustiva dispersa · parte mayoritaria del cuadrante sin datos (fuera del vuelo),,
OCU-Q01-A,Q01,-71.2005423186189,-29.506316683350732,agrupacion_habitacional,4,0.7,INFERENCIA,True,revisar_en_terreno,Continuacion sur del asentamiento Q00/Q11 · densidad alta de estructuras en mitad inferior del cuadrante segun mosaico panoramico · NO leido individualmente,,
VACIO-Q02-A,Q02,-71.19712891509892,-29.506316683350732,terreno_arido_sin_ocupacion_aparente,0,0.7,INFERENCIA,True,revisar_en_terreno,Zona arida sin estructuras visibles en panorama · NO leido individualmente · posibles estructuras pequenas no detectables a esta escala,,
VACIO-Q03-A,Q03,-71.19371551157892,-29.506316683350732,terreno_arido_sin_ocupacion_aparente,0,0.75,INFERENCIA,True,revisar_en_terreno,Zona arida · sin ocupacion visible en panorama · cuadrante con datos parciales (bordes del vuelo),,
OCU-Q10-A,Q10,-71.2039557221389,-29.50969369252629,asentamiento_consolidado,5,0.8,INFERENCIA,True,revisar_en_terreno,Densidad muy alta de techumbres en panorama · extension del nucleo Q11 hacia oeste · NO leido individualmente,,
OCU-Q12-A,Q12,-71.19712891509892,-29.50969369252629,agrupacion_habitacional,4,0.7,INFERENCIA,True,revisar_en_terreno,Densidad media de techumbres en panorama · trama urbana visible · transicion entre nucleo y periferia este,,
OCU-Q13-A,Q13,-71.19371551157892,-29.50969369252629,estructuras_dispersas,1,0.6,INFERENCIA,True,revisar_en_terreno,Algunas estructuras dispersas visibles en panorama · mayoritariamente zona arida,,
OCU-Q20-A,Q20,-71.2039557221389,-29.513070701701853,asentamiento_consolidado,5,0.8,INFERENCIA,True,revisar_en_terreno,Densidad alta de techumbres en panorama · extension sur del nucleo · NO leido individualmente,,
OCU-Q21-A,Q21,-71.2005423186189,-29.513070701701853,asentamiento_consolidado,5,0.8,INFERENCIA,True,revisar_en_terreno,Densidad alta de techumbres en panorama · continuidad de la trama urbana sur · NO leido individualmente,,
GEO-Q23-CAUCE,Q23,-71.19371551157892,-29.513070701701853,cauce_quebrada_seco,0,0.7,INFERENCIA,True,revisar_en_terreno,Continuidad del cauce de Q22 · zona arida con cauce serpenteante visible en panorama,,
OCU-Q30-A,Q30,-71.2039557221389,-29.516447710877415,agrupacion_habitacional,4,0.7,INFERENCIA,True,revisar_en_terreno,Densidad media de techumbres en panorama · extension SW del asentamiento · cuadrante con datos parciales,,
OCU-Q31-A,Q31,-71.2005423186189,-29.516447710877415,estructuras_dispersas,2,0.5,INFERENCIA,True,revisar_en_terreno,Estructuras dispersas + camino + terreno mayoritariamente sin ocupacion en panorama,,
VACIO-Q32-A,Q32,-71.19712891509892,-29.516447710877415,terreno_arido_sin_ocupacion_aparente,0,0.65,INFERENCIA,True,revisar_en_terreno,Sin ocupacion visible en panorama · cuadrante con datos parciales,,
