id,nombre,direccion,tipo,agua_potable,cat_planilla,rol_sii_valor,cbr_fojas,cbr_numero,cbr_anio
INST-001,REGISTRO CIVIL,AV. GABRIELA MISTRAL,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-002,CONAFE,AV. GABRIELA MISTRAL,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-003,ESCUELA PEDRO PABLO MUÑOZ,AV. GABRIELA MISTRAL,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-004,TECHADO MUNICIPAL,AV. GABRIELA MISTRAL,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-005,PARROQUIA CATOLICA,"AV. GABRIELA MISTRAL/ rol 24-010/fs. 2083, número 1978, año 1992",institucion_publica_o_comunitaria,RED,instituciones_con_agua,24-010,2083,1978,1992
INST-006,HOGAR DE ANCIANOS,AV. GABRIELA MISTRAL,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-007,CENTROS DE MADRES,AV. GABRIELA MISTRAL,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-008,IGLESIA PENTECOSTAL,,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-009,RETEN DE CARABINEROS,AV. LA PAZ,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-010,IGLESIA ADVENTISTA,,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-011,MUNICIPALIDAD,AV. LA PAZ esq. VIOLETA SEURA,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-012,BIBLIOTECA MUNICIPAL,PEDRO PABLO MUÑOZ,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-013,ASOCIACION MINERA,JOSE ORREGO,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-014,"JARDIN INFANTIL ""CAPULLITO""",AV. GABRIELA MISTRAL esq. PJE. EL MOLLE,institucion_publica_o_comunitaria,RED,instituciones_con_agua,,,,
INST-015,POSTA SALUD RURAL,AV. LA PAZ,institucion_publica_o_comunitaria,,instituciones_con_agua,,,,
INST-016,"CLUB DEPORTIVO ""ONCE ESTRELLAS""",,institucion_publica_o_comunitaria,,instituciones_sin_agua,,,,
INST-017,COMITÉ A.P.R,,institucion_publica_o_comunitaria,,instituciones_sin_agua,,,,
INST-018,TEATRO MUNICIPAL,,institucion_publica_o_comunitaria,,instituciones_sin_agua,,,,
INST-019,SEDE CAMPESINO,,institucion_publica_o_comunitaria,,instituciones_sin_agua,,,,
INST-020,SEDE CLUB DE HUASO,,institucion_publica_o_comunitaria,,instituciones_sin_agua,,,,
INST-021,PLAZA PUBLICA,,institucion_publica_o_comunitaria,,instituciones_sin_agua,,,,
INST-022,SEDE DISCAPACITADOS,,institucion_publica_o_comunitaria,,instituciones_sin_agua,,,,
